Kalimat;Kelompok
ketika datang ke nasib, itu hanya cepat untuk menyingkirkan, melemparkan kisah mengangguk, umur panjang.;pernyataan
Mereka juga mencuci kaki mereka di udara.;pernyataan
Ceritanya adalah Kyai Juprit, dan dia miskin, lalu dia menggantinya, di timur Paraga.;pernyataan
seolah-olah kami petani di masa lalu, ketika kami memuja hari itu, mimpi ada di hati kami.;pernyataan
Kemudian, ada Ki Jumprit, di tepi lentera.;pernyataan
Itulah kisah banyak orang, masing-masing dari mereka berbeda.;pernyataan
sarana kehidupan, sarana hidup, kekayaan dunia, kemuliaan dunia, dan tidak ada orang lain.;pernyataan
banyak yang tidak pulang, pergi ke kepala Praha.;pernyataan
dan kemudian menjadi desa yang hebat, Ki Jumprit ada di sana, memanggil satu nama.;pernyataan
Bahkan jika Anda seorang hantu, Anda pintar, Anda tahu, Anda tidak bisa mengatakan apa-apa, Ki Jumprit lebih mencintai Anda.;pernyataan
Tim pencarian didirikan, menyatakan templat.;pernyataan
Dalam hal hilangnya monyet, semua ajarannya, Kyai Jumprit dapat menerimanya.;pernyataan
Untuk bisa memasak, dua orang, jika ada area Ki Jumprit atau rumah, itu adalah Kyai Dipa.;pernyataan
Diana dan Kyai, terlalu tua Dipa wanara, Kyai Dipa disebut.;pernyataan
jika Ki Jumprit menderita, ia dimakamkan di ruang pribadi, di pagi hari, di belakang Ki Dodd, meninggalkannya dalam posisi di bawah kekuasaan bandara.;pernyataan
Apoteker di desa, buah bermata putih dari banyak spesies.;pernyataan
Baiklah, seperti biasa, dari pekan raya.;pernyataan
seorang pengemis yang bijak, seorang narator lama, pencerita Sri Sugriwa, yang lewat sampai hari ini, keturunan Ki Dipa.;pernyataan
Mas Cebolang dan catur santri, lebih suka berbicara tentang cerita, paman dikatakan mengikuti.;pernyataan
Dalam nama Raja, saat ini, Ki Gupita adalah pencipta ini, raja raja, sekarang Kyai Dipa adalah yang ketiga.;pernyataan
Ini telah turun dari tri, dari Jeng Kyai Dipa sekali.;pernyataan
Air mata adalah yang terpenting, demi mereka, setiap orang yang membantu.;pernyataan
dia memiliki bulu bunga, blazer, dan seorang putra, yang menghabiskan malam menunggunya.;pernyataan
Pada kuncir wukir Sundara, ada pantat di dada putranya.;pernyataan
Untuk membangunnya, cara kerjanya, nubuat ramalan.;pernyataan
Kemudian dia mengambilnya, di kawah alabuh, di yurt rumah raja, untuk didamaikan dengannya, dan Ki Jumprit sangat cantik.;pernyataan
Anak lelaki yang dinubuatkannya datang ke kaisar.;pernyataan
Kesejahteraan rakyat, orang kaya dan orang miskin, pada usia yang sama.;pernyataan
Ini akan berkurang, dalam ketergantungannya, dalam perbuatan dewa, tidak memahami bahasa, hewan purba.;pernyataan
Tidak ada yang bisa menerimanya, seperti Kyai Dipa, hanya untukku.;pernyataan
Itu sebabnya kamu diterima, amyinta memberkatimu kyai.;pernyataan
untuk meminta tempat berlindung, memberi keberuntungan, penyayang, kekayaan mitos, dalam pangkat kebaikan.;pernyataan
Bahan-bahannya di kamil, misalnya, madu adalah madu.;pernyataan
empat karya seni, dan kaleng mereka, jatuh, taburi panggang ayam panggang, berbagai warna.;pernyataan
Lihatlah ayahku, tapi aku minta maaf.;pernyataan
Keesokan harinya, lebih dan lebih lagi, kisah cerita itu diyakinkan, prosesi cerita, Ki Gumpita membesarkan, memberi jalan ke rumah induk, di mana ibu ada di sana.;pernyataan
Jangan merawat pagi hari, jangan tidur.;perintah
Ini sedikit lebih banyak, lebih sering daripada beberapa tahun yang lalu.;pernyataan
Andheku Ki Gumpita, tolong jadilah baik, nasib baik, setelah beberapa perubahan dari Paraga.;pernyataan
Lepaskan kepala Anda, aritmatika kecil dari banyak orang.;perintah
Nanas itu dikukus, ada bohlam kecil, hanya merobek wilis, mengolah dedaunan, di bebatuan, di tengah banyak, hanya dalam bentuk batu, batu berperang.;pernyataan
Jika Anda ingin memastikan Anda memiliki kecerdasan yang sama, Anda harus memilikinya di saku Anda.;pernyataan
Isi setengah dari air, asalkan sudah terlambat.;pernyataan
Semakin banyak Anda pergi, semakin banyak Anda pergi.;pernyataan
Di tepi danau, semakin banyak kuda, semakin banyak yang mengembara wilis, jari-jari jemari.;pernyataan
Waktunya telah tiba, kuda-kuda itu hilang.;pernyataan
Pada saat yang sama, minumlah anggur, kembali, pergi tidur dan pergilah, karena Anda harus kembali ke atas, lima orang yang hanya berteriak.;pernyataan
Menanggapi uptake desa, di desa Ki Lebdaswaninda.;pernyataan
Setelah dia dibawa, dia kesal.;pernyataan
Swaninda dinyanyikan di pagi hari, doa pagi, hari pertama kehidupan orang-orang, seberapa jauh.;pernyataan
Melawan siapa pun yang cinta diucapkan, saya mengatakan lebih banyak.;pernyataan
Babi-babi, yang paling mahal, berasal dari Cilacap nagri.;pernyataan
dan yang lain, adalah badut badut, berjalan melalui hati, tidak mau menunjukkan air mata kecil, tersenyum Lebdaswaninda.;pernyataan
Jika perjalanan bagian itu bertahan, kuda-kuda klan akan berlalu.;pernyataan
dan bebannya tidak perlu diawasi, itu adalah fitur yang bagus.;pernyataan
Dan bahkan jika ayah itu adalah ayah, biarkan dia memiliki hati, biarkan dia pergi.;pernyataan
Beban yang didapat orang tua juga baik, keledai itu senang.;pernyataan
Ini adalah penyebab besar, dan itu ide yang bagus.;pernyataan
Kata itu diucapkan, tetapi dikatakan religius.;pernyataan
Di pagi hari, dia lega karena Ki Lebda sudah tidur.;pernyataan
melampaui mandira, juga tanpa arti, Swaninda acarita.;pernyataan
Di hadapan Sultan Mantawwis, ia menjadi sebuah desa.;pernyataan
ada catatan Margawati, ukuran lahan hutan kedelapan, dan penyamakan kulit tembok.;pernyataan
Nama Lebdaswaninda, seni bela diri, ketika datang ke belakang, layar kapal, dan pegangan datar.;pernyataan
Tidak ada yang istimewa di Margawati, tapi di seluruh dunia.;pernyataan
Berkenaan dengan kebaikan raja, banyak bentuk kehidupannya, seperti keluarga, demi dia.;pernyataan
burung berwarna-warni di langit, dan mereka sangat tahan terhadap sakit, umur panjang.;pernyataan
Karena ukuran langit, langit masih di bawah mandrel.;pernyataan
Ini tempat tinggalmu.;pernyataan
Panci tidak baik, itu bagus, karena warna yang cocok untuk pasien, tidak keras dan keras.;pernyataan
Boost matahari diserap, rumah bungalow kyai.;pernyataan
jaga dirimu, terluka, dan banyak lagi.;perintah
Myang santrinira empat, tidak begitu lama, Ki Swaninda bujakrama.;pernyataan
desah Masolol bertanya lagi, melanjutkan tentang kapal.;pernyataan
Setiap kapal Margawati, apa lagi yang bisa Anda lakukan?;pertanyaan
Kelesuan itu rusak, Lebdaswaninda membentang, tidak berbeda dari biasanya.;pernyataan
dengan karakteristiknya sendiri, fitur-fiturnya, karakteristiknya, dan pantulannya pada kuda-kuda.;pernyataan
Semakin banyak Anda menghabiskan hidup Anda, semakin Anda hidup dalam kehidupan.;pernyataan
Belum diketahui bahwa kapal memiliki karakter yang baik.;pernyataan
Katakanlah, bicarakan tentang itu, yang lebih buruk, dan kemudian datanglah padaku.;perintah
Pinten banggi foodeping galih, kadiya mring atmaja priyangga.;pernyataan
di bagian bawah tubuh, di belakang, bukan munafik dan aku Kyai.;pernyataan
Ki Lebda tidak memiliki keajaiban, obat peradangan, tidak berkata apa-apa.;pernyataan
Demi kulup, saya tidak cukup peduli, lelaki tua itu sudah menikah.;pernyataan
Orang-orang yang saling memandang, beberapa dari mereka berwarna putih.;pernyataan
di tengah, dua mata, dua di belakang telinga.;pernyataan
The mathi adalah nama, menara, dua di cakrawala, sisi kiri langit serta keduanya, wudel kuda.;pernyataan
Dalam kasus dua ibu, pipinya berada di sisi kanan.;pernyataan
jika kurang satu, Sonyata seperti apa adanya, jika lebih buruk dari itu.;pernyataan
Ini buruk, itu bagus, dan itu karakteristik, hal tergelap di dunia.;pernyataan
Misalnya, rambutnya penuh dengan rambut, mereka ada di mana-mana.;pernyataan
mengabadikan janin mereka, ditandai dengan karakteristik, yang sama dan garis-garis, kekakuan mereka.;pernyataan
karakter dan persatuan, tekan satu sama lain, untuk waktu yang lama.;pernyataan
Jika ada bisu, itu ditutupi dengan genre genre, itu adalah marshmallow.;pernyataan
ketika datang ke mathins, kuda itu mundur, jatuh karena namanya, penampilannya.;pernyataan
jika almarhum disiksa di lawannya, dia dihukum.;pernyataan
Ketika lengan yang suka diemong itu berakar, itu mengamuk ke dalam panci.;pernyataan
jika musuh-musuhnya, pada saat yang sama, dia tidak akan menemukannya.;pernyataan
Jika poros, ketegangan, nostal salib, neraka itu gelap.;pernyataan
Orang-orang jahat.;pernyataan
Ketika datang ke nama mereka, itu hanya masalah fakta.;pernyataan
ketika tempat itu terletak, menurut ekor, Lintang yang terlihat akrab.;pernyataan
jika itu dukun, ada di dahi, ketiga dan ketiga.;pernyataan
setuju Mantan-pansa itu bagus, itu adalah fitur nggennya.;pernyataan
Tidur siang, jangan takut untuk melakukannya, jika itu adalah karakter ibumu.;perintah
Jika Anda menemukan diri Anda dalam suasana hati yang baik, apennon dan erangan adalah sama seperti itu.;pernyataan
Jika karakternya ceroboh, ada baiknya berhati-hati, tidak masalah bagi siapa pun.;pernyataan
Jika fitur itu ringan, cahayanya rusak, ketika direntangkan.;pernyataan
tidak peduli apa pun, tidak peduli seberapa besar nora yang bersangkutan, namanya adalah Dhudha-karem.;pernyataan
Sementara itu, jika karakter dari suku itu ada, Arja-pinuk menjadi jurit, dan dia diizinkan.;pernyataan
Jika akhirnya bisa berakhir, jika akhirnya tidak mungkin, maka komandannya.;pernyataan
dan mantra mantra, jika saya memiliki fitur saya.;pernyataan
Itu adalah kejahatan, hal jahat untuk dilakukan, memiliki milik Anda sendiri, lawan Anda, uang Anda, uang Anda.;pernyataan
Jika perut adalah karakteristik.;pernyataan
Orang jahat itu buruk, tidak sebanding dengan usaha.;pernyataan
itu adalah karakter dari bibir, yang berada di bawah kebaikan, tindakan amal.;pernyataan
Jika jalinan siyung, Kala-mandhukul arannya, yang namanya tawekal menjadi seorang pemilik tanah, berkata kepada orang-orang.;pernyataan
Jika karakter anak domba ada di atas.;pernyataan
Wabah penyakit, berlalunya jahat yang ada dalam fitur kembali, sering kakapanipun, jika kursi dentitihi.;pernyataan
Kala-Jojog pan-gaya, karakter panas, karakter yang ada di bokong, anus anrus kelabang-angleng buruk, panas untuk Yahudi.;pernyataan
Jika bintik-bintik itu khas, mereka rusak parah.;pernyataan
dan jika itu adalah fitur dunia, itu adalah tangan kiri.;pernyataan
Jika di kaki kanan, ketika datang untuk bekerja, tekuk kepalanya.;pernyataan
Jika sifat kiri benar, maka orang yang tepat adalah satu-satunya orang yang mau menggunakannya.;pernyataan
Jika orang lain adalah pencuri, itu adalah hal yang buruk untuk dikatakan, yaitu, akhlak mulia saya.;pernyataan
Maknanya adalah bahwa, ketika datang untuk membangun dewan juri, itu adalah persaingan.;pernyataan
Kepala kepalanya, kepada orang utama, bahwa karakteristik tempat tidur yang baik, lunas pan.;pernyataan
Namanya adalah Kala-kapipit, ketika itu karakteristik dari para penerima.;pernyataan
Pakaiannya, kehangatannya, jika telinga dari cekungan-Dharma.;pernyataan
Jika itu salah, itu hal yang baik, Ringan, ringan, di hadapan kuda yang tak terelakkan, yang menyayat hati.;pernyataan
Jika ada kesalahpahaman, maka jika Anda berada di penjara, Anda tidak perlu khawatir tentang itu.;pernyataan
Jika pipi karakteristik, .Development ngemil kiri, uang buruk ngurudi, tetapi untuk mereka yang, jika bibir enggannira, yaitu Mures gaya sering angelongi, yang memiliki artanira.;pernyataan
Jika fitur tidak pas di telinga, sihir Sangkala-kalunay jahat, karakteristik ngengat.;pernyataan
Ya Biru, jika itu batu giok.;pernyataan
tidak hanya dalam bahasa, tetapi juga dalam bahasa, bahasa, bahasa, dan bahasa.;pernyataan
Jika ada sepeda, sebaiknya naik sepeda.;pernyataan
Dia diberitahu bahwa jika dia adalah keturunan, saudaranya Braney, yang jauh dari yang lain, memiliki rasa memiliki yang baik, jika ada dua keinginan.;pernyataan
Ala wateking turahga, bahwa suku adalah satu.;pernyataan
Araneyas, senang berada di pengadilan.;pernyataan
Jika telinga adalah telinga, maka itu adalah air mata, itu ide yang buruk, yang berarti jika Anda meninggalkan telinga kiri Anda.;pernyataan
Panasnya panas, ketika leher kanan terhubung, pekerjaannya hancur.;pernyataan
Jika rambut Anda lusuh, sering terlihat, berubah pikiran, jika kedua dahi.;pernyataan
Adalah baik untuk memiliki banyak orang.;pernyataan
Jika ada bayangan, tergantung pada telinga, itu adalah Penglihatan, yang terburuk dari mendengar kata, kritik, jika berada di jenggot.;pernyataan
Sirtimang arannira, diberkati adalah yang terbaik, yang paling kuat.;pernyataan
Jika Anda berlabuh di kepala.;pernyataan
Ini sering merupakan kasus terburuk seekor kuda, yang prihatin dengan fakta bahwa kita berdua meninggalkan musuh, ketika satu suku berada di tempat yang tepat.;pernyataan
Itu mungkin untuk melakukan pekerjaan dengan baik.;pernyataan
Jika kaki kiri di belakang, itu akan membuat pin, maka akan dikatakan bahwa ujung pembuluh darah, jika memang benar, sangat buruk, bahwa itu adalah orang yang menyuap.;pernyataan
Ini suasana hati yang buruk.;pernyataan
Jika leher ada di leher.;pernyataan
Selamat mencoba, ikuti instruksi, jika perut Anda basah.;pernyataan
Anda tahu, tidak peduli betapa buruknya itu, betapa pentingnya hal itu.;pernyataan
Itu ide yang bagus, jika Anda punya ide Anda.;pernyataan
Di akhir kedua kesempatannya, Nenek baik, ketika rumah sudah di rumah.;pernyataan
Kamar baik-baik saja, jika mereka hancur.;pernyataan
Ingat ceritanya, betapa buruknya, jika Anda berada di depan kita, bahwa Sujen dikatakan diberkati dalam pekerjaan.;pernyataan
Jika pemilik master suku, yang tahu cara mengatasinya, datang untuk bekerja di tempat kerja.;pernyataan
Airnya tidak bagus, rasa sakitnya tersebar luas.;pernyataan
Selama mereka adalah kucing, semuanya sudah sembuh.;pernyataan
Hantu, semua karakteristik, semuanya tinggi.;pernyataan
Jenis toleransi yang sama, semua imajinasi orang lain, tubuh bagian bawahnya, bagian bawah pergelangan tangan, batas atas kanan.;pernyataan
Jika senarnya jelek, pantatnya cukup bagus, menyortir pekerjaan.;pernyataan
Jika Anda terlalu malas, itu baik untuk jujur, jika Anda tidak memiliki kesempatan, tinggal jauh dari Anda, tinggal jauh dari Anda, hal-hal buruk yang Anda lakukan.;pernyataan
Jika memukul sisi itu, itu bagus untuk melakukannya, itu ide yang baik untuk menjadi lebih tua.;pernyataan
Sekrup lawan lawan, lempar lawannya, lawannya tidak berharga, yang memiliki masyarakat.;pernyataan
Jika Bramara-debu-api, pupil adalah saudara naga merah.;pernyataan
Itu hal yang buruk jika orang baik, tapi itu hal yang baik, hanya orang baik.;pernyataan
Kemasan orang-orang dari orang yang sama, dengan yang lain, tidak lagi layak untuk mengatakan bahwa kandung kemih kandung kemih.;pernyataan
Bermanfaat, hot guy anrus berteriak minta makanan.;pernyataan
tetangga Anggeringaken, anyandhing orang miskin, hanya layak pinurak, tidak ada deningoni yang tepat yang denparani kuda, dhadhangak seperti urine, seperti Durga-dhangak, hot pan tidak baik.;pernyataan
Sudah waktunya untuk memuaskan kakimu.;pernyataan
Panas tidak layak untuk mengatakan bahwa ketika kandung kemih keluar, itu mengerikan, tetapi itu hanya baik, itu hanya baik untuk tubuh, ketika datang ke punggung dan punggung kuda.;pernyataan
Siput adalah seekor kuda.;pernyataan
Jika Anda berada di daerah Anda, panasnya panas, katakanlah Watangpugag, bahwa duri itu dingin.;pernyataan
Yang terbaik dari semuanya, yang terburuk dari semuanya, adalah punggung Anda tinggi.;pernyataan
Luasnya nora itu bagus, panasnya itu menakutkan.;pernyataan
Jika kuda dewasa, jika anganosodiosis besar, panas di hutan, ketika pancake berwarna-warni, depan dan belakang, buruk di paru-paru, ketika datang ke kebahagiaan, tiba-tiba berbalik, ketika ada seekor kuda.;pernyataan
Sudut ekor-span, pancal-anjot-host-Gerit, buzzer buruk Gering, istrinya memiliki baik, layak ditolak, jika Perot wadananipun, taring buruk, jika itu adalah dosa kecil, tiba-tiba meningkat secara berkelanjutan.;pernyataan
Jika Pancal gel-ugelira, itu berkulit terang.;pernyataan
Piring baik-baik saja, dan roti direndam di pohon panchal, tidak apa-apa, jika ada yang putih.;pernyataan
Tidak ada keraguan tentang itu, ketika datang ke peperangan, bahkan jika ada beberapa suku kulit putih, tangan kanan kering.;pernyataan
Namanya cukup buruk, dan dia sangat beruntung, dan dia jauh darinya.;pernyataan
Jika Anda kuda kuda, jaga ekor Anda tetap tertutup.;perintah
Panasnya panas, ketika ada putih, dua merah dan jangkar di bagian belakang, itu buruk, sulit untuk makan, jika ada cukup air.;pernyataan
Nanti dan di pagi hari.;pernyataan
Ekor nora bagus, jika bayangan sedang bergerak, rambut nora berbaris, sengatan merah marun, tangan kiri, nama lemah, bengkak kegetiran.;pernyataan
Menderita layak dari keduanya.;pernyataan
Carilah si pembunuh.;pernyataan
Penyensoran dewan, yang merupakan kasus jaksa, adalah sebuah lelucon, dan dikatakan bahwa itu adalah iring-iringan, sesuai dengan kepentingan mereka sendiri.;pernyataan
Wadhudhak-angrem panas, ketika kering, yang panas dalam panas.;pernyataan
Kerabat angecrahken, pekerjaan mereka garang, pasangan mereka.;pernyataan
bahwa kelopak mata, telinga telinga, kiri karakternya, ketika datang ke pekerjaan, akhir, turbulensi nora yang tak berujung.;pernyataan
Jika Baya-kred tidak tahan, itu membunuh tentara, tetapi kontraktor.;pernyataan
bahwa karakteristik ratu pemandian, pawaris premati.;pernyataan
Para pejuang itu, tentu saja, seorang pejuang, seorang pejuang.;pernyataan
Jika fitur tertinggal.;pernyataan
Pandawa-alu besi, kuda prajurit tunggal, yang hampir tidak bekerja, tidak ada kinerja yang baik, Dady nagareku cosigner, jika Raja hutan-Avalance, anrus diare di bagus panci, yaitu pan nama Panungkurat utama.;pernyataan
Kuda di antara pasukan, dan disunat nggonning fitur itu, Jayapurusa pan, kuda cocok memerintah, pergelangan tangan pemukim putih, ngginnipun yang tepat, seperti Darpa-muntap, tunggal kuda memerintah, sasolahe dari setelah tiba di rumah.;pernyataan
Jika pantat kiri dibiarkan.;pernyataan
Tentunya itu tidak mudah, itu adalah kepala tentara, itulah mengapa.;pernyataan
ketika ada tenggorokan, telinga penuh.;pernyataan
Namaku Jayengrana, itu kuat untukku, Kusuma-binasika.;pernyataan
Telinganya bengkak, matanya menyipit, dan wajahnya ketakutan.;pernyataan
kepalanya, lidah kecilnya, kepalanya di atas, leher dan lehernya, lehernya yang panjang, dan kuku jarinya.;pernyataan
Lihatlah dia, dan lihat apa yang terjadi, jatuh di teluk.;pernyataan
semua yang lurus dan kecil, kaki mereka, kaki mereka, kaki mereka, kaki mereka dan kaki mereka.;pernyataan
Abaikan tubuh Anda, buah manggis, jari-jari rusa.;pernyataan
pelafalan tipis, yang paling pendek pendek, karakter di perutnya, kuda utama, yang pantas menerima pengampunannya, kemarahannya sebagai seorang narendra.;pernyataan
Jika kulup empat.;pernyataan
Menjaga musuh Anda baik, jika Raju Balaban, sebenarnya masuk tanpa izin jajaneki, prapteng maksih perut, mungkandheg pupurusipun.;pernyataan
Bahkan, penting untuk dicatat bahwa di lengan bawah telinga kecil yang bau.;pernyataan
Taraju-mas adalah kekayaan besar, kaya, ketika gigi panas, ketika lempengan mati rasa, Kusuma-tan-bisa-sika.;pernyataan
Di sekeliling.;pernyataan
Anda merah dan biru, merah dan hitam, dan datanglah ke kaki Anda, dan kuda Anda penuh dengan kuda, dan kepala mereka putih.;pernyataan
Jika Anda memiliki kartu merah, itu adalah kuda kehormatan, terlalu banyak.;pernyataan
Yeku Retna-kumala, yang kaya akan kekayaan dan kebahagiaan, tidak sebagus itu.;pernyataan
Ketika bulan purnama, kuda putih mencapai dua orang Belanda, klan keempatnya, semuanya putih, di seluruh puncak tahta kerajaan, sebagai putra, dan wajahnya.;pernyataan
Datan ditabrak oleh seorang pemenang, mengingat bahwa boneka Wisnumurti, di hadapan musuh, merupakan beban bagi ingatannya.;pernyataan
Bebek putih berwarna putih, dan itu adalah kapal yang bersinar dalam keterampilan, terutama ketika ratu berada di tengah malam ketika putih putih dibiarkan di sebelah kanan, yang lebih besar.;pernyataan
Jika Anda melihat dua di antaranya, klik saat Anda mengetiknya.;pernyataan
Jika nanas berkaki tiga, sungai utama, sungai dan danau, berputar di laut, raja para prajurit.;pernyataan
Jika film hitam itu halus, dan alis hitamnya sama, ratu raja, pan Krishna.;pernyataan
Sri-mangepel putih herpesnya, kanan dan depannya, menyukai kekayaannya.;pernyataan
Sri mangepel suku ngarsa, menyeberang kanan setelah kaum tani.;pernyataan
Manusia gua itu adalah seekor burung tekukur.;pernyataan
Jika Anda tidak tahu nora lara, ini adalah seorang pejuang.;pernyataan
Mengakhiri karakteristik kuda jantan, Mas Cebolang mengatakan bahwa wanita itu, suaminya, putra kesayangannya, tidak berniat melakukannya.;pernyataan
Lebdaswaninda senang, laki-laki harus memilih.;pernyataan
Patung-patung seperti anak laki-laki, mereka harus dipilih dan diberhentikan, tetapi perbuatan mereka, serta kaki belakang, adalah satu-satunya untuk perempuan laki-laki, satu-satunya untuk perempuan.;pernyataan
Pemenang desa, jika lenging talinganeki.;pernyataan
Jika itu adalah haknya, perutnya merah, panasnya tujuh puluh tujuh, rasa lelahnya.;pernyataan
Jika hitam itu hitam;pernyataan
Di sisi kiri, itu adalah alat yang baik untuk ginjal, dengan kuncir kuda, dengan tumpukan tongkat, adalah ras yang ditarik kuda.;pernyataan
Jika ekor merah panjang, ekornya naik ke depan.;pernyataan
Suku Kang meninggalkan namanya.;pernyataan
Suasana hatinya yang buruk sudah mati, di medan perangnya.;pernyataan
Putih itu empat pon.;pernyataan
Asthamanik di bawah lutut, adalah nasib buruk.;pernyataan
Jika kuda itu berwarna kuning, kuda itu ada di tengah telinganya.;pernyataan
Orang-orang yang menginspirasi dewa, kuda-kuda di penis, kepala berwajah merah, nora bagus, jika jari-jari domba di atas.;pernyataan
Kepalaku adalah kuda yang bagus, kekasih yang baik dengan kecerdasan yang kaya, budak seorang budak, putra dan istri, kuda merah di sebelah kiri hartanya, ekor sarang sarang, dan Gondrekngilo setuju.;pernyataan
Segera Batara Kala, jika gereja telah kembali.;pernyataan
Jika tangan kirinya, hanya satu telinga kiri, seperti orang yang insya Allah.;pernyataan
Jika Anda memiliki masalah, maka mintalah jawaban.;pernyataan
Cat cat tur kucing kucing itu, jika di bawah telinga, nama yang tepat, tampilan jajembrak, namanya adalah Sandiwana namanya, yang jauh di mata, persis seperti itu.;pernyataan
Ketika kuda merah berbaring di bibir atasnya, wajahnya berwarna abu-abu, itu ringan, terlalu panas sehingga gelap, siapa yang berteriak untuk menyembuhkan, itu dingin.;pernyataan
Durga Bathari Durga, jika kuda hitam ada di atas, ada cara untuk menghindarinya.;pernyataan
Nama termuda, kekasihnya Jayengrana karakternya, berkembang dengan aprang-nya, lebih superior dari basuka.;pernyataan
Danardana adalah, ketika kuda putih tertutup, di telinga kanannya, ketika ekor merah, mereka adalah Tuhan-nama namanya, Grinata, nama kerajaan.;pernyataan
Jika bagus untuk dilakukan, jangan ditekuk.;pernyataan
Jika akhirnya tidak kompeten, jika kuda itu berwarna kuning, panjang mungserneki, belahan kiri.;pernyataan
Cincin pektoral Puspalada, nama tubuhnya, tubuh Anjayengranane, rambut putih rambut putih, bibir atas, Nilakantha.;pernyataan
Kuda utama senator, layak digunakan, berwarna hitam pekat jika kuku jari tangan, tertinggi tidak bagus.;pernyataan
Kuda jantan, kehilangan namanya.;pernyataan
Sering dikatakan bahwa mengendarai, mengajar dengan buruk, melindungi perut korban.;pernyataan
Mega-pertemuan-bulan baik, ini adalah hari yang sibuk.;pernyataan
Anggur merah putih, dan mereka cantik.;pernyataan
Setiap hari akan ada hari ketika itu akan bekerja, tetapi itu tidak akan cukup.;pernyataan
Kelingnya bagus, jika kuda kuda itu berwarna kuning, tapi sudah terlambat, itu tidak bagus, sulit untuk memikirkannya.;pernyataan
Kuda putih itu adalah duburneki, dengan bibir penuh sesak, ada kemelekatan.;pernyataan
Mereka sangat tipis, manggis manggis, dan tanduk mereka.;pernyataan
Hak hati Surenggara, kelembutan, kekayaan telinga bujangnya, dua sakit kepalanya.;pernyataan
Jika kuning itu kuning, itu nama saya.;pernyataan
Idenya bagus, dan keledai, tunas berambut merah, sisa sarang, saraf yang jatuh di tempat tidur, tersandung.;pernyataan
Kuda-kuda putih dan telinga amungser, lpuope dengan, lampin dalam nama mereka, bergoyang dan bergoyang, banyak rejeki, pengemis.;pernyataan
Palangkaraya versi mungser midspring, yang meninggalkan kinaot, hanya perdamaian yang memiliki Çiçek.;pernyataan
Tersandung pergi ketika kuda merah, telinga mungser menyembul, menentukan yang terburuk.;pernyataan
Siapa pun yang bermasalah, adalah tetangga.;pernyataan
Di dunia dan di dunia, ini adalah bencana nyata, ketika kuda merah ada di dalamnya.;pernyataan
Yeng-unyeng-unyengan tidak baik, wow kawaon bingung.;pernyataan
Ketika saya tumbuh dewasa, saya takut saya akan tidur, ketika saya sedang terburu-buru, itu adalah tempat yang bagus untuk pergi.;pernyataan
Arja-parilya baik, kuda, kuda Dawa ekor kuning, meskipun Tuhan yang sama, melayang di atas, pakantuk jika hanya nyaris diselamatkan nya memiliki.;pernyataan
Mengendarai fitur saudaranya balalak, gugule ton terburuk.;pernyataan
Bawakara diperpanjang bernama, tapi ia diberkati Juruselamat, mungser netraneki, ketika kuda dhawuk.;pernyataan
Arcu Turo dia menitih, jutaan tanggung jawab kekalahan.;pernyataan
Jika fitur Palangka dari bibirnya.;pernyataan
Rustrakara adalah pembuat panci yang baik, memiliki wahana, pikiran mereka kemudian.;pernyataan
Mas Cebolang Umatur ibadah, jika kuda datang, tidak ada Ned setuju cicirine.;pernyataan
Jika datang bencana Bertobatlah.;perintah
Swaninda pergi bersama istrinya.;pernyataan
Arti penting dari karakter, yang telah terjadi, kuda putih itu berdosa, perak dari agni, kuda hitam, darahnya.;pernyataan
Sinuled kuda kuning keemasan, ingobong tembaga, jika kuda merah susulede, kuda dhawuk emas Minardi, yang otoritas Suwasa, yang tidak berbau tua.;pernyataan
Ini telah pergi jauh dari sifat tersebut.;pernyataan
Sulit baginya untuk memakai kerah perak, berlian arenant, lehernya.;pernyataan
Panulaking Sonyantaka terpasang, sehingga tidak ada.;pernyataan
Sonyantaka sulit tutulake, abu kuda-cala-api, sulfur pan merah, oranye winor lawan.;pernyataan
Setelah kulit rusak, kulitnya melesat.;pernyataan
pada waktu fajar malam, ketika datang ke tengah malam, sudah berakhir, itu panas.;pernyataan
Dia akan tumbuh dewasa, dia.;pernyataan
rentan terhadap eksploitasi musuh-musuh mereka, mengejar Bramara-guevara, kelangsungan perang, ketika datang untuk membeli.;pernyataan
Satu-satunya cara untuk menyingkirkannya adalah.;pernyataan
Hari yang Anda habiskan, dan pasar untuk basal.;pernyataan
kuda putih ketika saham saya manis, di bulan Kaseki, wajah Petroka.;pernyataan
Jika sudah sore, pembelian saya adalah Kaliwon.;pernyataan
Bulanan Karo Suwela aranne, kuda hitam usia, ke bulan pertama, prawada berakhir.;pernyataan
Jika itu adalah kuda kuning, itu dijual di Epon, di bulan Kapat Wiyoga.;pernyataan
tapi ada yang salah dengan itu, sayang sekali, kekhawatirannya.;pernyataan
Tapal kuda putih saat keluar Manis, bagus.;pernyataan
Jika tidak sepadan dengan menunggu, pastikan untuk memeriksa Paing, ngomong-ngomong, tidak lagi.;pernyataan
Kuda hitam ketika Wage pergi, Anda tahu, komandan yang layak, ketika yang lain hitam baik.;pernyataan
Dengan kata lain, itu baik untuk dikatakan.;pernyataan
Itu terutama menyentuh itu dari Kaliwon, kebencian hitam merah gelap, tidak hanya bagus ketika, hanya perintah pertama, tahta raja.;pernyataan
Dengan kata lain, yang lain lebih buruk dari yang lain.;pernyataan
